disease,symptom
liver cancer,yellow discoloration of your skin and the whites of your eyes (jaundice)
liver cancer,"white, chalky stools"
schizoaffective disorder,"delusions — having false, fixed beliefs, despite evidence to the contrary"
schizoaffective disorder,"hallucinations, such as hearing voices or seeing things that aren't there"
schizoaffective disorder,"impaired communication and speech, such as being incoherent"
schizoaffective disorder,bizarre or unusual behavior
schizoaffective disorder,"symptoms of depression, such as feeling empty, sad or worthless"
schizoaffective disorder,"periods of manic mood, with an increase in energy and a decreased need for sleep over several days, and behaviors that are out of character"
schizoaffective disorder,"impaired occupational, academic and social functioning"
schizoaffective disorder,"problems with managing personal care, including cleanliness and physical appearance"
incompetent cervix,a sensation of pelvic pressure
incompetent cervix,a new backache
incompetent cervix,mild abdominal cramps
incompetent cervix,a change in vaginal discharge
incompetent cervix,light vaginal bleeding
attention-deficit/hyperactivity disorder (adhd) in children,predominantly inattentive. the majority of symptoms fall under inattention.
attention-deficit/hyperactivity disorder (adhd) in children,predominantly hyperactive/impulsive. the majority of symptoms are hyperactive and impulsive.
attention-deficit/hyperactivity disorder (adhd) in children,combined. this is a mix of inattentive symptoms and hyperactive/impulsive symptoms.
salivary gland tumors,a lump or swelling on or near your jaw or in your neck or mouth
salivary gland tumors,numbness in part of your face
salivary gland tumors,muscle weakness on one side of your face
salivary gland tumors,persistent pain in the area of a salivary gland
salivary gland tumors,difficulty swallowing
salivary gland tumors,trouble opening your mouth widely
endocarditis,aching joints and muscles
endocarditis,chest pain when you breathe
endocarditis,fatigue
endocarditis,"flu-like symptoms, such as fever and chills"
endocarditis,night sweats
endocarditis,shortness of breath
endocarditis,"swelling in your feet, legs or abdomen"
endocarditis,"a new or changed heart murmur, which is the heart sound made by blood rushing through your heart"
endocarditis,unexplained weight loss
endocarditis,"blood in your urine, which you might be able to see or that your doctor might see when he or she views your urine under a microscope"
endocarditis,"tenderness in your spleen, which is an infection-fighting organ located just below your left rib cage"
endocarditis,red spots on the soles of your feet or the palms of your hands (janeway lesions)
endocarditis,"red, tender spots under the skin of your fingers or toes (osler's nodes)"
endocarditis,"tiny purple or red spots, called petechiae (puh-tee-kee-ee), on the skin, in the whites of your eyes or inside your mouth"
tendinitis,"pain often described as a dull ache, especially when moving the affected limb or joint"
tendinitis,tenderness
tendinitis,mild swelling
endometrial cancer,vaginal bleeding after menopause
endometrial cancer,bleeding between periods
endometrial cancer,pelvic pain
mitral valve regurgitation,abnormal heart sound (heart murmur) heard through a stethoscope
mitral valve regurgitation,"shortness of breath (dyspnea), especially when you have been very active or when you lie down"
mitral valve regurgitation,fatigue
mitral valve regurgitation,"heart palpitations — sensations of a rapid, fluttering heartbeat"
mitral valve regurgitation,swollen feet or ankles
amyloidosis,swelling of your ankles and legs
amyloidosis,severe fatigue and weakness
amyloidosis,shortness of breath with minimal exertion
amyloidosis,unable to lie flat in bed due to shortness of breath
amyloidosis,"numbness, tingling or pain in your hands or feet, especially pain in your wrist (carpal tunnel syndrome)"
amyloidosis,"diarrhea, possibly with blood, or constipation"
amyloidosis,unintentional weight loss of more than 10 pounds (4.5 kilograms)
amyloidosis,"an enlarged tongue, which sometimes looks rippled around its edge"
amyloidosis,"skin changes, such as thickening or easy bruising, and purplish patches around the eyes"
amyloidosis,an irregular heartbeat
amyloidosis,difficulty swallowing
severe acute respiratory syndrome (sars),fever of 100.5 f (38 c) or higher
severe acute respiratory syndrome (sars),dry cough
severe acute respiratory syndrome (sars),shortness of breath
frozen shoulder,"freezing stage. any movement of your shoulder causes pain, and your shoulder's range of motion starts to become limited."
frozen shoulder,"frozen stage. pain may begin to diminish during this stage. however, your shoulder becomes stiffer, and using it becomes more difficult."
frozen shoulder,thawing stage. the range of motion in your shoulder begins to improve.
progressive supranuclear palsy,a loss of balance while walking. a tendency to fall backward can occur very early in the disease.
progressive supranuclear palsy,"an inability to aim your eyes properly. you may have particular difficulty looking downward, or experience blurring and double vision. this difficulty with focusing the eyes can make some people spill food or appear disinterested in conversation because of poor eye contact."
progressive supranuclear palsy,stiffness and awkward movements
progressive supranuclear palsy,falling
progressive supranuclear palsy,problems with speech and swallowing
progressive supranuclear palsy,sensitivity to light
progressive supranuclear palsy,sleep disturbances
progressive supranuclear palsy,loss of interest in pleasurable activities
progressive supranuclear palsy,"impulsive behavior, possibly including laughing or crying for no reason"
progressive supranuclear palsy,"difficulties with memory, reasoning, problem-solving and decision-making"
progressive supranuclear palsy,depression and anxiety
progressive supranuclear palsy,"a surprised or frightened facial expression, resulting from rigid facial muscles"
phenylketonuria (pku),"a musty odor in the breath, skin or urine, caused by too much phenylalanine in the body"
phenylketonuria (pku),neurological problems that may include seizures
phenylketonuria (pku),skin rashes (eczema)
phenylketonuria (pku),"fair skin and blue eyes, because phenylalanine can't transform into melanin — the pigment responsible for hair and skin tone"
phenylketonuria (pku),abnormally small head (microcephaly)
phenylketonuria (pku),hyperactivity
phenylketonuria (pku),intellectual disability
phenylketonuria (pku),delayed development
phenylketonuria (pku),"behavioral, emotional and social problems"
phenylketonuria (pku),psychiatric disorders
nasopharyngeal carcinoma,a lump in your neck caused by a swollen lymph node
nasopharyngeal carcinoma,blood in your saliva
nasopharyngeal carcinoma,bloody discharge from your nose
nasopharyngeal carcinoma,nasal congestion or ringing in your ears
nasopharyngeal carcinoma,hearing loss
nasopharyngeal carcinoma,frequent ear infections
nasopharyngeal carcinoma,sore throat
nasopharyngeal carcinoma,headaches
pubic lice (crabs),legs
pubic lice (crabs),chest
pubic lice (crabs),armpits
pubic lice (crabs),beard or mustache
pubic lice (crabs),"eyelashes or eyebrows, more commonly in children"
prostatitis,pain or burning sensation when urinating (dysuria)
prostatitis,"difficulty urinating, such as dribbling or hesitant urination"
prostatitis,"frequent urination, particularly at night (nocturia)"
prostatitis,urgent need to urinate
prostatitis,cloudy urine
prostatitis,blood in the urine
prostatitis,"pain in the abdomen, groin or lower back"
prostatitis,pain in the area between the scrotum and rectum (perineum)
prostatitis,pain or discomfort of the penis or testicles
prostatitis,painful ejaculation
prostatitis,flu-like signs and symptoms (with bacterial prostatitis)
bunions,a bulging bump on the outside of the base of your big toe
bunions,"swelling, redness or soreness around your big toe joint"
bunions,corns or calluses — these often develop where the first and second toes rub against each other
bunions,ongoing pain or pain that comes and goes
bunions,limited movement of your big toe
ice cream headaches,"sharp, stabbing pain in the forehead"
ice cream headaches,pain that peaks about 20 to 60 seconds after it begins and goes away in about the same time
ice cream headaches,pain that rarely lasts longer than five minutes
encopresis,"leakage of stool or liquid stool on underwear, which can be mistaken for diarrhea"
encopresis,"constipation with dry, hard stool"
encopresis,passage of large stool that clogs or almost clogs the toilet
encopresis,avoidance of bowel movements
encopresis,long periods of time between bowel movements
encopresis,lack of appetite
encopresis,abdominal pain
encopresis,problems with daytime wetting or bedwetting (enuresis)
encopresis,"repeated bladder infections, typically in girls"
cataracts,"clouded, blurred or dim vision"
cataracts,increasing difficulty with vision at night
cataracts,sensitivity to light and glare
cataracts,need for brighter light for reading and other activities
cataracts,"seeing ""halos"" around lights"
cataracts,frequent changes in eyeglass or contact lens prescription
cataracts,fading or yellowing of colors
cataracts,double vision in a single eye
hypoplastic left heart syndrome,grayish-blue skin color (cyanosis)
hypoplastic left heart syndrome,"rapid, difficult breathing"
hypoplastic left heart syndrome,poor feeding
hypoplastic left heart syndrome,cold hands and feet
hypoplastic left heart syndrome,weak pulse
hypoplastic left heart syndrome,being unusually drowsy or inactive
hypoplastic left heart syndrome,"cool, clammy skin that may be pale or gray"
hypoplastic left heart syndrome,a weak and rapid pulse
hypoplastic left heart syndrome,abnormal breathing that may be either slow and shallow or very rapid
hypoplastic left heart syndrome,lackluster eyes that seem to stare
dystonia,"begin in a single area, such as your leg, neck or arm. focal dystonia that begins after age 21 usually starts in the neck, arm or face and tends to remain focal or segmental."
dystonia,"occur during a specific action, such as handwriting."
dystonia,"worsen with stress, fatigue or anxiety."
dystonia,become more noticeable over time.
dystonia,"neck (cervical dystonia). contractions cause your head to twist and turn to one side, or pull forward or backward, sometimes causing pain."
dystonia,"eyelids. rapid blinking or involuntary spasms cause your eyes to close (blepharospasms) and make it difficult for you to see. spasms usually aren't painful but might increase when you're in bright light, under stress or interacting with people. your eyes might feel dry."
dystonia,"jaw or tongue (oromandibular dystonia). you might experience slurred speech, drooling, and difficulty chewing or swallowing. oromandibular dystonia can be painful and often occurs in combination with cervical dystonia or blepharospasms."
dystonia,voice box and vocal cords (spasmodic dystonia). you might have a tight or whispering voice.
dystonia,"hand and forearm. some types of dystonia occur only while you do a repetitive activity, such as writing (writer's dystonia) or playing a specific musical instrument (musician's dystonia)."
angovers,fatigue and weakness
angovers,excessive thirst and dry mouth
angovers,headaches and muscle aches
angovers,"nausea, vomiting or stomach pain"
angovers,poor or decreased sleep
angovers,increased sensitivity to light and sound
angovers,dizziness or a sense of the room spinning
angovers,shakiness
angovers,decreased ability to concentrate
angovers,"mood disturbances, such as depression, anxiety and irritability"
angovers,rapid heartbeat
placental abruption,"vaginal bleeding, although there might not be any"
placental abruption,abdominal pain
placental abruption,back pain
placental abruption,uterine tenderness or rigidity
placental abruption,"uterine contractions, often coming one right after another"
angina,dizziness
angina,fatigue
angina,nausea
angina,shortness of breath
angina,sweating
heart palpitations,skipping beats
heart palpitations,fluttering rapidly
heart palpitations,beating too fast
heart palpitations,pounding
heart palpitations,flip-flopping
giant cell arteritis,"persistent, severe head pain, usually in your temple area"
giant cell arteritis,scalp tenderness
giant cell arteritis,jaw pain when you chew or open your mouth wide
giant cell arteritis,fever
giant cell arteritis,fatigue
giant cell arteritis,unintended weight loss
giant cell arteritis,"vision loss or double vision, particularly in people who also have jaw pain"
giant cell arteritis,"sudden, permanent loss of vision in one eye"
peyronie's disease,scar tissue. the scar tissue associated with peyronie's disease — called plaque but different from plaque that can build up in blood vessels — can be felt under the skin of the penis as flat lumps or a band of hard tissue.
peyronie's disease,a significant bend to the penis. your penis might curve upward or downward or bend to one side.
peyronie's disease,"erection problems. peyronie's disease might cause problems getting or maintaining an erection (erectile dysfunction). but, often men report erectile dysfunction before the beginning of peyronie's disease symptoms."
peyronie's disease,shortening of the penis. your penis might become shorter as a result of peyronie's disease.
peyronie's disease,"pain. you might have penile pain, with or without an erection."
peyronie's disease,"other penile deformity. in some men with peyronie's disease, the erect penis might have narrowing, indentations or even an hourglass-like appearance, with a tight, narrow band around the shaft."
autoimmune hepatitis,fatigue
autoimmune hepatitis,abdominal discomfort
autoimmune hepatitis,yellowing of the skin and whites of the eyes (jaundice)
autoimmune hepatitis,an enlarged liver
autoimmune hepatitis,abnormal blood vessels on the skin (spider angiomas)
autoimmune hepatitis,skin rashes
autoimmune hepatitis,joint pains
autoimmune hepatitis,loss of menstrual periods
genital warts,"small, flesh-colored, brown or pink swellings in your genital area"
genital warts,a cauliflower-like shape caused by several warts close together
genital warts,itching or discomfort in your genital area
genital warts,bleeding with intercourse
parkinson's disease,"tremor. a tremor, or shaking, usually begins in a limb, often your hand or fingers. you may rub your thumb and forefinger back and forth, known as a pill-rolling tremor. your hand may tremble when it's at rest."
parkinson's disease,"slowed movement (bradykinesia). over time, parkinson's disease may slow your movement, making simple tasks difficult and time-consuming. your steps may become shorter when you walk. it may be difficult to get out of a chair. you may drag your feet as you try to walk."
parkinson's disease,rigid muscles. muscle stiffness may occur in any part of your body. the stiff muscles can be painful and limit your range of motion.
parkinson's disease,"impaired posture and balance. your posture may become stooped, or you may have balance problems as a result of parkinson's disease."
parkinson's disease,"loss of automatic movements. you may have a decreased ability to perform unconscious movements, including blinking, smiling or swinging your arms when you walk."
parkinson's disease,"speech changes. you may speak softly, quickly, slur or hesitate before talking. your speech may be more of a monotone rather than have the usual inflections."
parkinson's disease,"writing changes. it may become hard to write, and your writing may appear small."
astigmatism,blurred or distorted vision
astigmatism,eyestrain or discomfort
astigmatism,headaches
astigmatism,difficulty with night vision
astigmatism,squinting
aortic valve disease,abnormal heart sound (heart murmur) heard through a stethoscope
aortic valve disease,"shortness of breath, particularly when you have been very active or when you lie down"
aortic valve disease,dizziness
aortic valve disease,fainting
aortic valve disease,chest pain or tightness
aortic valve disease,irregular heartbeat
aortic valve disease,fatigue after being active or having less ability to be active
aortic valve disease,not eating enough (mainly in children with aortic valve stenosis)
aortic valve disease,not gaining enough weight (mainly in children with aortic valve stenosis)
wheat allergy,"swelling, itching or irritation of the mouth or throat"
wheat allergy,"hives, itchy rash or swelling of the skin"
wheat allergy,nasal congestion
wheat allergy,headache
wheat allergy,difficulty breathing
wheat allergy,"cramps, nausea or vomiting"
wheat allergy,diarrhea
wheat allergy,anaphylaxis
copd,"shortness of breath, especially during physical activities"
copd,wheezing
copd,chest tightness
copd,"a chronic cough that may produce mucus (sputum) that may be clear, white, yellow or greenish"
copd,frequent respiratory infections
copd,lack of energy
copd,unintended weight loss (in later stages)
copd,"swelling in ankles, feet or legs"
pneumonia,chest pain when you breathe or cough
pneumonia,confusion or changes in mental awareness (in adults age 65 and older)
pneumonia,"cough, which may produce phlegm"
pneumonia,fatigue
pneumonia,"fever, sweating and shaking chills"
pneumonia,lower than normal body temperature (in adults older than age 65 and people with weak immune systems)
pneumonia,"nausea, vomiting or diarrhea"
pneumonia,shortness of breath
pneumonia,adults older than age 65
pneumonia,children younger than age 2 with signs and symptoms
pneumonia,people with an underlying health condition or weakened immune system
pneumonia,people receiving chemotherapy or taking medication that suppresses the immune system
hyponatremia,nausea and vomiting
hyponatremia,headache
hyponatremia,confusion
hyponatremia,"loss of energy, drowsiness and fatigue"
hyponatremia,restlessness and irritability
hyponatremia,"muscle weakness, spasms or cramps"
hyponatremia,seizures
hyponatremia,coma
endometriosis,painful periods (dysmenorrhea). pelvic pain and cramping may begin before and extend several days into a menstrual period. you may also have lower back and abdominal pain.
endometriosis,pain with intercourse. pain during or after sex is common with endometriosis.
endometriosis,pain with bowel movements or urination. you're most likely to experience these symptoms during a menstrual period.
endometriosis,excessive bleeding. you may experience occasional heavy menstrual periods or bleeding between periods (intermenstrual bleeding).
endometriosis,"infertility. sometimes, endometriosis is first diagnosed in those seeking treatment for infertility."
endometriosis,"other signs and symptoms. you may experience fatigue, diarrhea, constipation, bloating or nausea, especially during menstrual periods."
molar pregnancy,dark brown to bright red vaginal bleeding during the first trimester
molar pregnancy,severe nausea and vomiting
molar pregnancy,sometimes vaginal passage of grapelike cysts
molar pregnancy,pelvic pressure or pain
molar pregnancy,rapid uterine growth — the uterus is too large for the stage of pregnancy
molar pregnancy,high blood pressure
molar pregnancy,preeclampsia — a condition that causes high blood pressure and protein in the urine after 20 weeks of pregnancy
molar pregnancy,ovarian cysts
molar pregnancy,anemia
molar pregnancy,overactive thyroid (hyperthyroidism)
vascular dementia,confusion
vascular dementia,trouble paying attention and concentrating
vascular dementia,reduced ability to organize thoughts or actions
vascular dementia,"decline in ability to analyze a situation, develop an effective plan and communicate that plan to others"
vascular dementia,difficulty deciding what to do next
vascular dementia,problems with memory
vascular dementia,restlessness and agitation
vascular dementia,unsteady gait
vascular dementia,sudden or frequent urge to urinate or inability to control passing urine
vascular dementia,depression or apathy
pancreatitis,upper abdominal pain
pancreatitis,abdominal pain that radiates to your back
pancreatitis,abdominal pain that feels worse after eating
pancreatitis,fever
pancreatitis,rapid pulse
pancreatitis,nausea
pancreatitis,vomiting
pancreatitis,tenderness when touching the abdomen
pancreatitis,upper abdominal pain
pancreatitis,losing weight without trying
pancreatitis,"oily, smelly stools (steatorrhea)"
chronic granulomatous disease,fever
chronic granulomatous disease,chest pain when inhaling or exhaling
chronic granulomatous disease,swollen and sore lymph glands
chronic granulomatous disease,a persistent runny nose
chronic granulomatous disease,"skin irritation that may include a rash, swelling or redness"
chronic granulomatous disease,swelling and redness in your mouth
chronic granulomatous disease,"gastrointestinal problems that may include vomiting, diarrhea, stomach pain, bloody stool or a painful pocket of pus near the anus"
rectal cancer,"a change in bowel habits, such as diarrhea, constipation or more-frequent bowel movements"
rectal cancer,dark maroon or bright red blood in stool
rectal cancer,narrow stool
rectal cancer,a feeling that your bowel doesn't empty completely
rectal cancer,abdominal pain
rectal cancer,unexplained weight loss
rectal cancer,weakness or fatigue
primary sclerosing cholangitis,fatigue
primary sclerosing cholangitis,itching
primary sclerosing cholangitis,pain in the upper right part of the abdomen
primary sclerosing cholangitis,fever
primary sclerosing cholangitis,chills
primary sclerosing cholangitis,night sweats
primary sclerosing cholangitis,enlarged liver
primary sclerosing cholangitis,enlarged spleen
primary sclerosing cholangitis,weight loss
primary sclerosing cholangitis,yellow eyes and skin (jaundice)
pectus excavatum,decreased exercise tolerance
pectus excavatum,rapid heartbeat or heart palpitations
pectus excavatum,recurrent respiratory infections
pectus excavatum,wheezing or coughing
pectus excavatum,chest pain
pectus excavatum,heart murmur
pectus excavatum,fatigue
pectus excavatum,dizziness
guillain-barre syndrome,"prickling, pins and needles sensations in your fingers, toes, ankles or wrists"
guillain-barre syndrome,weakness in your legs that spreads to your upper body
guillain-barre syndrome,unsteady walking or inability to walk or climb stairs
guillain-barre syndrome,"difficulty with facial movements, including speaking, chewing or swallowing"
guillain-barre syndrome,double vision or inability to move eyes
guillain-barre syndrome,"severe pain that may feel achy, shooting or cramplike and may be worse at night"
guillain-barre syndrome,difficulty with bladder control or bowel function
guillain-barre syndrome,rapid heart rate
guillain-barre syndrome,low or high blood pressure
guillain-barre syndrome,difficulty breathing
brain tumor,new onset or change in pattern of headaches
brain tumor,headaches that gradually become more frequent and more severe
brain tumor,unexplained nausea or vomiting
brain tumor,"vision problems, such as blurred vision, double vision or loss of peripheral vision"
brain tumor,gradual loss of sensation or movement in an arm or a leg
brain tumor,difficulty with balance
brain tumor,speech difficulties
brain tumor,confusion in everyday matters
brain tumor,personality or behavior changes
brain tumor,"seizures, especially in someone who doesn't have a history of seizures"
brain tumor,hearing problems
deviated septum,obstruction of one or both nostrils. this blockage (obstruction) can make it difficult to breathe through the nostril or nostrils. you may notice this more when you have a cold (upper respiratory tract infection) or allergies that can cause your nasal passages to swell and narrow.
deviated septum,"nosebleeds. the surface of your nasal septum may become dry, increasing your risk of nosebleeds."
deviated septum,facial pain. there is some debate about the possible nasal causes of facial pain. a possible cause of one-sided facial pain could be a severe deviated septum in which surfaces within the nose touch and cause pressure.
deviated septum,noisy breathing during sleep. a deviated septum or swelling of the intranasal tissues can be one of the many reasons for noisy breathing during sleep.
deviated septum,"awareness of the nasal cycle. it is normal for the nose to alternate being obstructed on one side, then change to being obstructed on the other. this is called the nasal cycle. the nasal cycle is normal, but being aware of the nasal cycle isn't typical and can indicate nasal obstruction."
deviated septum,preference for sleeping on a particular side. some people may prefer to sleep on a particular side in order to optimize breathing through the nose at night if one nasal passage is narrowed.
asthma attack,"severe shortness of breath, chest tightness or pain, and coughing or wheezing"
asthma attack,"low peak expiratory flow (pef) readings, if you use a peak flow meter"
asthma attack,symptoms that fail to respond to use of a quick-acting (rescue) inhaler
toxic hepatitis,yellowing of the skin and whites of the eyes (jaundice)
toxic hepatitis,itching
toxic hepatitis,abdominal pain in the upper right portion of the abdomen
toxic hepatitis,fatigue
toxic hepatitis,loss of appetite
toxic hepatitis,nausea and vomiting
toxic hepatitis,rash
toxic hepatitis,fever
toxic hepatitis,weight loss
toxic hepatitis,dark or tea-colored urine
orthostatic hypotension (postural hypotension),lightheadedness or dizziness upon standing
orthostatic hypotension (postural hypotension),blurry vision
orthostatic hypotension (postural hypotension),weakness
orthostatic hypotension (postural hypotension),fainting (syncope)
orthostatic hypotension (postural hypotension),confusion
orthostatic hypotension (postural hypotension),nausea
hyperhidrosis,sweating disrupts your daily routine
hyperhidrosis,sweating causes emotional distress or social withdrawal
hyperhidrosis,you suddenly begin to sweat more than usual
hyperhidrosis,you experience night sweats for no apparent reason
spinal headaches,"dull, throbbing pain that varies in intensity from mild to incapacitating"
spinal headaches,pain that typically gets worse when you sit up or stand and decreases or goes away when you lie down
spinal headaches,dizziness
spinal headaches,ringing in the ears (tinnitus)
spinal headaches,hearing loss
spinal headaches,blurred or double vision
spinal headaches,sensitivity to light (photophobia)
spinal headaches,nausea and vomiting
spinal headaches,neck pain or stiffness
spinal headaches,seizures
interstitial lung disease,shortness of breath at rest or aggravated by exertion
interstitial lung disease,dry cough
acromegaly,enlarged hands and feet
acromegaly,"coarsened, enlarged facial features"
acromegaly,"coarse, oily, thickened skin"
acromegaly,excessive sweating and body odor
acromegaly,small outgrowths of skin tissue (skin tags)
acromegaly,fatigue and muscle weakness
acromegaly,"a deepened, husky voice due to enlarged vocal cords and sinuses"
acromegaly,severe snoring due to obstruction of the upper airway
acromegaly,impaired vision
acromegaly,headaches
acromegaly,enlarged tongue
acromegaly,pain and limited joint mobility
acromegaly,menstrual cycle irregularities in women
acromegaly,erectile dysfunction in men
acromegaly,"enlarged organs, such as the heart"
acromegaly,loss of interest in sex
yeast infection (vaginal),itching and irritation in the vagina and vulva
yeast infection (vaginal),"a burning sensation, especially during intercourse or while urinating"
yeast infection (vaginal),redness and swelling of the vulva
yeast infection (vaginal),vaginal pain and soreness
yeast infection (vaginal),vaginal rash
yeast infection (vaginal),"thick, white, odor-free vaginal discharge with a cottage cheese appearance"
yeast infection (vaginal),watery vaginal discharge
varicose veins,veins that are dark purple or blue in color
varicose veins,veins that appear twisted and bulging; they are often like cords on your legs
varicose veins,an achy or heavy feeling in your legs
varicose veins,"burning, throbbing, muscle cramping and swelling in your lower legs"
varicose veins,worsened pain after sitting or standing for a long time
varicose veins,itching around one or more of your veins
varicose veins,skin discoloration around a varicose vein
balance problems,sense of motion or spinning (vertigo)
balance problems,feeling of faintness or lightheadedness (presyncope)
balance problems,loss of balance or unsteadiness
balance problems,falling or feeling like you might fall
balance problems,feeling a floating sensation or dizziness
balance problems,"vision changes, such as blurriness"
balance problems,confusion
rheumatic fever,fever
rheumatic fever,"painful and tender joints — most often in the knees, ankles, elbows and wrists"
rheumatic fever,pain in one joint that migrates to another joint
rheumatic fever,"red, hot or swollen joints"
rheumatic fever,"small, painless bumps beneath the skin"
rheumatic fever,chest pain
rheumatic fever,heart murmur
rheumatic fever,fatigue
rheumatic fever,"flat or slightly raised, painless rash with a ragged edge"
rheumatic fever,"jerky, uncontrollable body movements (sydenham chorea) — most often in the hands, feet and face"
rheumatic fever,"outbursts of unusual behavior, such as crying or inappropriate laughing, that accompanies sydenham chorea"
central sleep apnea,observed episodes of stopped breathing or abnormal breathing patterns during sleep
central sleep apnea,abrupt awakenings accompanied by shortness of breath
central sleep apnea,shortness of breath that's relieved by sitting up
central sleep apnea,difficulty staying asleep (insomnia)
central sleep apnea,excessive daytime sleepiness (hypersomnia)
central sleep apnea,chest pain at night
central sleep apnea,difficulty concentrating
central sleep apnea,mood changes
central sleep apnea,morning headaches
central sleep apnea,snoring
central sleep apnea,lower tolerance for exercise
perimenopause,"irregular periods. as ovulation becomes more unpredictable, the length of time between periods may be longer or shorter, your flow may be light to heavy, and you may skip some periods. if you have a persistent change of seven days or more in the length of your menstrual cycle, you may be in early perimenopause. if you have a space of 60 days or more between periods, you're likely in late perimenopause."
perimenopause,"hot flashes and sleep problems. hot flashes are common during perimenopause. the intensity, length and frequency vary. sleep problems are often due to hot flashes or night sweats, but sometimes sleep becomes unpredictable even without them."
perimenopause,"mood changes. mood swings, irritability or increased risk of depression may happen during perimenopause. the cause of these symptoms may be sleep disruption associated with hot flashes. mood changes may also be caused by factors not related to the hormonal changes of perimenopause."
perimenopause,"vaginal and bladder problems. when estrogen levels diminish, your vaginal tissues may lose lubrication and elasticity, making intercourse painful. low estrogen may also leave you more vulnerable to urinary or vaginal infections. loss of tissue tone may contribute to urinary incontinence."
perimenopause,"decreasing fertility. as ovulation becomes irregular, your ability to conceive decreases. however, as long as you're having periods, pregnancy is still possible. if you wish to avoid pregnancy, use birth control until you've had no periods for 12 months."
perimenopause,"changes in sexual function. during perimenopause, sexual arousal and desire may change. but if you had satisfactory sexual intimacy before menopause, this will likely continue through perimenopause and beyond."
perimenopause,"loss of bone. with declining estrogen levels, you start to lose bone more quickly than you replace it, increasing your risk of osteoporosis — a disease that causes fragile bones."
perimenopause,"changing cholesterol levels. declining estrogen levels may lead to unfavorable changes in your blood cholesterol levels, including an increase in low-density lipoprotein (ldl) cholesterol — the ""bad"" cholesterol — which contributes to an increased risk of heart disease. at the same time, high-density lipoprotein (hdl) cholesterol — the ""good"" cholesterol — decreases in many women as they age, which also increases the risk of heart disease."
chronic sinusitis,nasal inflammation
chronic sinusitis,"thick, discolored discharge from the nose"
chronic sinusitis,drainage down the back of the throat (postnasal drainage)
chronic sinusitis,"nasal obstruction or congestion, causing difficulty breathing through your nose"
chronic sinusitis,"pain, tenderness and swelling around your eyes, cheeks, nose or forehead"
chronic sinusitis,reduced sense of smell and taste
chronic sinusitis,ear pain
chronic sinusitis,aching in your upper jaw and teeth
chronic sinusitis,cough or throat clearing
chronic sinusitis,sore throat
chronic sinusitis,bad breath
chronic sinusitis,fatigue
thumb arthritis,"swelling, stiffness and tenderness at the base of your thumb"
thumb arthritis,decreased strength when pinching or grasping objects
thumb arthritis,decreased range of motion
thumb arthritis,enlarged or bony appearance of the joint at the base of your thumb
vulvar cancer,itching that doesn't go away
vulvar cancer,pain and tenderness
vulvar cancer,bleeding that isn't from menstruation
vulvar cancer,"skin changes, such as color changes or thickening"
vulvar cancer,"a lump, wartlike bumps or an open sore (ulcer)"
thyroid nodules,be felt
thyroid nodules,"be seen, often as a swelling at the base of your neck"
thyroid nodules,"press on your windpipe or esophagus, causing shortness of breath or difficulty swallowing"
thyroid nodules,unexplained weight loss
thyroid nodules,increased sweating
thyroid nodules,tremor
thyroid nodules,nervousness
thyroid nodules,rapid or irregular heartbeat
blocked tear duct,excessive tearing
blocked tear duct,redness of the white part of the eye
blocked tear duct,recurrent eye infection or inflammation (pink eye)
blocked tear duct,painful swelling near the inside corner of the eye
blocked tear duct,crusting of the eyelids
blocked tear duct,mucus or pus discharge from the lids and surface of the eye
blocked tear duct,blurred vision
air loss,"gradual thinning on top of head. this is the most common type of hair loss, affecting people as they age. in men, hair often begins to recede at the hairline on the forehead. women typically have a broadening of the part in their hair. an increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia)."
air loss,"circular or patchy bald spots. some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. your skin may become itchy or painful before the hair falls out."
air loss,sudden loosening of hair. a physical or emotional shock can cause hair to loosen. handfuls of hair may come out when combing or washing your hair or even after gentle tugging. this type of hair loss usually causes overall hair thinning but is temporary.
air loss,"full-body hair loss. some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. the hair usually grows back."
air loss,"patches of scaling that spread over the scalp. this is a sign of ringworm. it may be accompanied by broken hair, redness, swelling and, at times, oozing."
iron deficiency anemia,extreme fatigue
iron deficiency anemia,weakness
iron deficiency anemia,pale skin
iron deficiency anemia,"chest pain, fast heartbeat or shortness of breath"
iron deficiency anemia,"headache, dizziness or lightheadedness"
iron deficiency anemia,cold hands and feet
iron deficiency anemia,inflammation or soreness of your tongue
iron deficiency anemia,brittle nails
iron deficiency anemia,"unusual cravings for non-nutritive substances, such as ice, dirt or starch"
iron deficiency anemia,"poor appetite, especially in infants and children with iron deficiency anemia"
pulmonary fibrosis,shortness of breath (dyspnea)
pulmonary fibrosis,a dry cough
pulmonary fibrosis,fatigue
pulmonary fibrosis,unexplained weight loss
pulmonary fibrosis,aching muscles and joints
pulmonary fibrosis,widening and rounding of the tips of the fingers or toes (clubbing)
glioma,headache
glioma,nausea or vomiting
glioma,confusion or a decline in brain function
glioma,memory loss
glioma,personality changes or irritability
glioma,difficulty with balance
glioma,urinary incontinence
glioma,"vision problems, such as blurred vision, double vision or loss of peripheral vision"
glioma,speech difficulties
glioma,"seizures, especially in someone without a history of seizures"
